worker_num,jobs
1,427584
2,13142
3,4600
4,5267
5,1689
6,1785
7,1566
8,2486
9,632
10,555
11,482
12,467
13,369
14,291
15,535
16,872
17,200
18,163
19,155
20,125
21,136
22,113
23,130
24,153
25,167
26,52
27,75
28,87
29,146
30,209
31,300
32,755
33,27
34,21
35,24
36,20
37,19
38,20
39,47
40,29
41,20
42,23
43,34
44,29
45,25
46,15
47,22
48,22
49,13
50,10
51,13
52,11
53,14
54,16
55,17
56,13
57,15
58,13
59,22
60,99
61,64
62,88
63,77
64,84
65,10
66,13
67,14
68,6
69,10
70,8
71,6
72,19
73,13
74,36
75,32
76,13
77,5
78,6
79,6
80,10
81,6
82,12
83,18
84,6
85,2
86,4
87,6
88,5
89,8
90,4
91,2
92,6
93,3
94,3
95,4
96,4
97,4
98,2
99,7
100,6
101,3
103,4
104,3
105,2
106,3
107,2
108,6
109,2
110,1
111,3
112,2
113,2
114,3
115,3
116,1
117,1
118,4
119,4
120,1
121,4
122,1
123,6
124,7
125,19
126,22
127,23
128,15
129,5
130,1
132,5
133,3
135,2
137,3
138,2
139,1
140,1
142,1
143,2
144,2
147,1
148,2
149,1
150,1
153,1
154,1
155,2
156,3
157,2
158,2
159,2
160,1
161,2
162,2
164,2
166,3
168,2
169,1
170,1
171,1
172,2
174,4
175,4
176,7
177,2
178,3
179,2
182,2
183,3
184,1
185,3
189,1
190,1
191,3
196,4
198,1
200,3
201,1
202,1
203,1
207,2
209,1
215,1
217,1
219,1
222,2
223,1
224,2
228,1
233,2
238,3
240,3
241,1
244,1
246,2
247,1
248,1
249,1
253,1
254,1
259,1
260,1
268,1
271,1
280,1
281,1
290,1
332,1
