cpu_per_gpu_bucket,jobs,share_jobs,gpu_seconds,jobs_share,gpu_seconds_share
8 to 16,290389,290389,50210331963.2,0.6219951292338075,0.35281345105434603
2 to 4,55686,55686,12977412412.8,0.1192759394003003,0.0911885159905179
4 to 8,55091,55091,13374077662.98,0.1180014865047219,0.09397576774443804
16 to 32,42110,42110,31034611017.85,0.09019699400471655,0.2180712173614369
32 to 64,15746,15746,23054419226.3,0.03372695007357556,0.16199672241255145
0 to 1,3348,3348,361665468.0,0.0071712072174730706,0.0025413184279639033
64 to 128,3287,3287,7422260572.3,0.0070405490214557895,0.05215407396742643
over 128,859,859,3396325239.63,0.001839924432440074,0.023864993156688764
1 to 2,351,351,483005531.0,0.0007518201115092735,0.0033939398846305957
