gpu_demand_bucket,jobs,share_jobs,gpu_seconds,jobs_share,gpu_seconds_share
1,297596,297596,77856117851.5,0.6374320738026034,0.5470723763589903
2 to 4,48978,48978,11171263736.5,0.10490782171367863,0.07849723268911131
0,48587,48587,1069695774.56,0.10407032409658425,0.007516442195151595
5 to 8,45752,45752,13612350665.5,0.09799793088824012,0.09565004307832302
9 to 16,12051,12051,5058028729.5,0.025812490495151726,0.035541301995271495
17 to 32,6760,6760,5042607254.0,0.014479498443882305,0.035432939756290624
33 to 64,3262,3262,3693953010.0,0.006987000580465101,0.025956337242420194
129 plus,2287,2287,21510793806.5,0.004898611381828229,0.15115011395168712
65 to 128,1594,1594,3299298266.0,0.0034142485975663306,0.023183212732754328
