hour_of_day,jobs,gpu_seconds,median_duration
0,22451,26340504883.71,1877.0
1,15929,3759686825.9,1096.0
2,14089,2551805293.5,1078.0
3,13387,2157562728.3,970.0
4,12921,1850031875.5,954.0
5,14128,2148851534.4,1015.0
6,14232,2602743845.5,1179.0
7,15038,2118133761.3,1200.5
8,15945,2207711373.3,1055.0
9,16972,3259701013.1,957.5
10,25057,9346196125.2,1415.0
11,25735,11027173855.7,1366.0
12,19770,6266258840.4,1122.0
13,19276,3913773797.3,1048.5
14,25304,8619720545.6,1457.0
15,25039,9461584371.7,1435.0
16,27015,9635504212.9,1577.0
17,25376,7445681758.7,1314.0
18,20016,4992890648.4,1122.0
19,21189,5324728843.05,1086.0
20,21885,5390992628.8,1133.0
21,19162,4857302446.6,1052.0
22,18813,3443216389.3,988.0
23,18138,3592351495.9,882.0
